College Name,District,Type,Branch,Category,Min Percentage (%),Approx Annual Fees,Hostel Facility,Hostel Fee
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,OPEN,84.0,"₹7,750 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,OBC,80.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,SC,74.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,ST,66.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,EWS,82.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,NT-A,77.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,NT-B,77.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,NT-C,77.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,NT-D,77.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,VJ/DT,77.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Computer Engineering,TFWS,89.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,OPEN,82.0,"₹7,750 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,OBC,78.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,SC,72.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,ST,64.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,EWS,80.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,NT-A,75.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,NT-B,75.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,NT-C,75.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,NT-D,75.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,VJ/DT,75.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Information Technology,TFWS,87.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,OPEN,82.0,"₹7,750 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,OBC,78.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,SC,72.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,ST,64.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,EWS,80.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,NT-A,75.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,NT-B,75.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,NT-C,75.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,NT-D,75.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,VJ/DT,75.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Artificial Intelligence & Data Science,TFWS,87.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,OPEN,78.0,"₹7,750 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,OBC,74.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,SC,68.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,ST,60.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,EWS,76.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,NT-A,71.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,NT-B,71.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,NT-C,71.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,NT-D,71.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,VJ/DT,71.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electronics & Telecommunication,TFWS,83.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,OPEN,78.0,"₹7,750 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,OBC,74.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,SC,68.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,ST,60.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,EWS,76.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,NT-A,71.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,NT-B,71.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,NT-C,71.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,NT-D,71.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,VJ/DT,71.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Electrical Engineering,TFWS,83.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,OPEN,76.0,"₹7,750 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,OBC,72.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,SC,66.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,ST,58.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,EWS,74.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,NT-A,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,NT-B,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,NT-C,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,NT-D,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,VJ/DT,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Mechanical Engineering,TFWS,81.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,OPEN,76.0,"₹7,750 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,OBC,72.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,SC,66.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,ST,58.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,EWS,74.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,NT-A,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,NT-B,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,NT-C,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,NT-D,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,VJ/DT,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Civil Engineering,TFWS,81.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,OPEN,76.0,"₹7,750 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,OBC,72.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,SC,66.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,ST,58.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,EWS,74.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,NT-A,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,NT-B,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,NT-C,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,NT-D,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,VJ/DT,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Chemical Engineering,TFWS,81.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,OPEN,76.0,"₹7,750 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,OBC,72.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,SC,66.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,ST,58.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,EWS,74.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,NT-A,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,NT-B,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,NT-C,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,NT-D,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,VJ/DT,69.0,"₹3,875 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Government Polytechnic, Nagpur",Nagpur,Government,Automobile Engineering,TFWS,81.0,"₹1,000 - ₹2,000 / year",Yes (Boys & Girls),"₹4,500 - ₹6,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,OPEN,68.0,"₹48,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,OBC,64.0,"₹24,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,SC,58.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
"Anjuman Polytechnic, Nagpur",Nagpur,Private (Minority),Computer Engineering,ST,50.0,"₹1,000 - ₹2,000 / year",Yes (Boys Only),"₹35,000 / year"
